big_category,mid_category,product_name,brand,like,price,product_img,codi_img,tags
,,,,,,,https://image.msscdn.net/images/codimap/detail/29759/detail_29759_659dea28595e6_500.jpg?202401121001,"['#겨울', '#겨울 기타 코트', '#노이아고', '#롱스커트', '#리', '#맨투맨/스웨트셔츠', '#백팩', '#시야쥬', '#에이티티', '#잔스포츠', '#장갑', '#틸 아이 다이', '#패션스니커즈화', '#코디맵', '#방한', '#맥시', '#캠퍼스', '#얼죽코', '#오버핏', '#로고플레이', '#편안한', '#아메카지']"
아우터,숏패딩/숏헤비 아우터,글로시 투톤 커브 크롭 숏패딩 _브라운,APOSTROPHE COMMA,510,"229,000원",https://image.msscdn.net/images/goods_img/20231026/3662885/3662885_16983401743577_500.jpg,,
아우터,카디건,TOGGLE BUTTON CARDIGAN IVORY,ROLAROLA,479,"98,000원",https://image.msscdn.net/images/goods_img/20231006/3610374/3610374_16975929878977_500.jpg,,
바지,데님 팬츠,[WIDE] Nimare Jeans,PANDORAFIT,"24,995",,https://image.msscdn.net/images/goods_img/20220914/2788633/2788633_1_500.jpg,,
모자,비니,폭스 라인 비니_Oatmeal,KNITLY,122,,https://image.msscdn.net/images/goods_img/20231023/3648322/3648322_16980417341499_500.jpg,,
여성 가방,크로스백,PECAN BROT [CHOCO BROWN],OSOI,155,,https://image.msscdn.net/images/goods_img/20220311/2412794/2412794_16933679741270_500.jpg,,
스니커즈,캔버스/단화,척테일러 올스타 리프트 플랫폼 셰르파 비치 스톤 A05509C,CONVERSE,384,"95,000원",https://image.msscdn.net/images/goods_img/20231018/3638309/3638309_16980263740249_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29723/detail_29723_659b5c174cb7b_500.jpg?202401121001,"['#겨울', '#아메카지', '#니틀리', '#데님 팬츠', '#로라로라', '#메신저/크로스 백', '#비니', '#숏패딩/숏헤비 아우터', '#어퍼스트로피 콤마', '#오소이', '#카디건', '#캔버스/단화', '#컨버스', '#크로스백', '#판도라핏', '#코디맵', '#방한', '#글로시', '#워싱', '#컬러블록', '#와이드핏', '#빈티지']"
아우터,나일론/코치 재킷,3Layer Windbreaker Jacket - Khaki,NOT4NERD,"1,606","111,500원",https://image.msscdn.net/images/goods_img/20230329/3191938/3191938_16810680942749_500.jpg,,
아우터,베스트,SPELL POINT STRIPE KNIT VEST IN IVORY,MATIN KIM,"5,457",,https://image.msscdn.net/images/goods_img/20230306/3125670/3125670_16782582117207_500.jpg,,
상의,니트/스웨터,우먼 버튼 다운 슬림 터틀넥 아이보리,COVERNAT,55,"79,000원",https://image.msscdn.net/images/goods_img/20230919/3571400/3571400_16950852537290_500.png,,
바지,코튼 팬츠,(기모옵션추가) 와이드 절개 벌룬팬츠 코튼 베이지,GLW,"11,099","69,000원",https://image.msscdn.net/images/goods_img/20210812/2060778/2060778_17022587627399_500.jpg,,
여성 가방,크로스백,NYLON MINI CROSS BAG(BLACK),HAVISM,"1,610","35,000원",https://image.msscdn.net/images/goods_img/20230421/3253191/3253191_16825019394417_500.jpg,,
스니커즈,패션스니커즈화,버나디 스니커즈 FLOTDA3U12,OTZ,"1,643",,https://image.msscdn.net/images/goods_img/20231103/3682807/3682807_16989928129418_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29676/detail_29676_659b5b313114a_500.jpg?202401121101,"['#겨울', '#아메카지', '#굿라이프웍스', '#나일론/코치 재킷', '#낫포너드', '#니트/스웨터', '#마뗑킴', '#메신저/크로스 백', '#베스트', '#오찌', '#커버낫', '#코튼 팬츠', '#크로스백', '#패션스니커즈화', '#해비즘', '#코디맵', '#컬러블록', '#벌룬핏', '#레이어드룩', '#오버핏', '#로고플레이']"
아우터,겨울 기타 코트,우먼 쉐르파 더플 코트 브라운,COVERNAT,520,"279,000원",https://image.msscdn.net/images/goods_img/20230919/3571422/3571422_16956952137588_500.jpg,,
상의,니트/스웨터,KN4240 Flower hairy wool knit_Cream,VANONE ATELIER,"3,478",,https://image.msscdn.net/images/goods_img/20231030/3670010/3670010_16993375914921_500.jpg,,
스커트,롱스커트,[NF] 히스 데님 롱스커트 (BLUE)_F23QD837,NASTY FANCY CLUB,"2,555","79,000원",https://image.msscdn.net/images/goods_img/20230131/3049791/3049791_16854218669209_500.jpg,,
여성 가방,토트백,Clover Bag Green,4OUR B,"2,912","98,000원",https://image.msscdn.net/images/goods_img/20220318/2430219/2430219_3_500.jpg,,
신발,슬리퍼,[SET] Nube fur socks & Nube mule (Brown),FLCT,301,,https://image.msscdn.net/images/goods_img/20230912/3551254/3551254_17044232080137_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29630/detail_29630_6594e112dbb3e_500.jpg?202401121101,"['#겨울', '#아메카지', '#겨울 기타 코트', '#네스티팬시클럽', '#니트/스웨터', '#롱스커트', '#반원 아틀리에', '#사비', '#슬리퍼', '#커버낫', '#토트백', '#플러피시트러스', '#코디맵', '#절개', '#맥시', '#퍼', '#워싱', '#원마일웨어', '#플라워', '#오버핏']"
아우터,롱패딩/롱헤비 아우터,[Woman]덕다운 시어링 칼라 롱 패딩 자켓_Khaki,LAFUDGE FOR WOMAN,"1,972","209,000원",https://image.msscdn.net/images/goods_img/20231017/3631953/3631953_16983723149023_500.jpg,,
아우터,카디건,woodbutton cable cardigan - charcoal,SOMEWHEREBUTTER,869,,https://image.msscdn.net/images/goods_img/20231114/3710213/3710213_17002005875667_500.jpg,,
